player_id,nome,squadra,stagione,pg,mv,fantamedia,gol,gol_subiti,rig_segnati,rig_tirati,rig_parati,assist,ammonizioni,espulsioni
7254,Lorran,PIS,2025-26,4,5.88,6.62,1,0,0,0,0,0,0,0
2499,Vardy,CRE,2025-26,29,5.95,6.62,7,0,0,0,0,1,5,0
7374,Mendy P.,CAG,2025-26,8,5.94,6.62,2,0,0,0,0,0,1,0
2765,Odgaard,BOL,2025-26,22,5.91,6.61,5,0,0,0,0,1,1,0
6684,Ekkelenkamp,UDI,2025-26,31,6.05,6.61,5,0,0,0,0,3,1,0
5995,De Ketelaere,ATA,2025-26,31,6.21,6.60,3,0,0,0,0,5,4,0
2529,Mkhitaryan,INT,2025-26,28,6.21,6.59,4,0,0,0,0,1,5,0
6844,Rowe,BOL,2025-26,28,6.20,6.59,3,0,0,0,0,3,2,0
5513,Dumfries,INT,2025-26,19,6.11,6.58,3,0,0,0,0,1,2,0
530,Pellegrini Lo.,ROM,2025-26,24,6.04,6.58,4,0,2,2,0,2,2,0
1976,Mazzitelli,CAG,2025-26,14,6.07,6.57,2,0,0,0,0,2,3,0
184,Bernardeschi,BOL,2025-26,24,6.04,6.56,4,0,1,1,0,2,3,0
6039,Cabal,JUV,2025-26,9,5.94,6.56,2,0,0,0,0,0,1,0
5455,Moreo,PIS,2025-26,35,5.99,6.56,7,0,2,2,0,0,2,0
7314,Taylor K.,LAZ,2025-26,17,6.06,6.56,3,0,0,0,0,2,5,0
6640,Felici,CAG,2025-26,11,6.05,6.55,2,0,0,0,0,1,3,0
6001,Banda,LEC,2025-26,32,6.08,6.55,5,0,0,0,0,4,6,1
1852,Spinazzola,NAP,2025-26,30,6.17,6.55,3,0,0,0,0,3,1,0
7127,Addai,COM,2025-26,12,5.96,6.54,3,0,0,0,0,0,4,0
449,Vazquez,CRE,2025-26,13,6.15,6.54,1,0,0,0,0,2,1,0
4427,Malinovskyi,GEN,2025-26,34,6.07,6.54,6,0,3,3,0,3,10,0
6552,Orban G.,VER,2025-26,28,5.82,6.54,7,0,2,2,0,2,4,1
5589,Konè M.,ROM,2025-26,29,6.26,6.53,2,0,0,0,0,3,2,0
6893,Kempf,COM,2025-26,29,6.12,6.52,4,0,0,0,0,1,3,0
4199,Loftus-Cheek,MIL,2025-26,21,6.10,6.52,3,0,0,0,0,1,2,0
5735,Volpato,SAS,2025-26,21,6.14,6.52,2,0,0,0,0,4,4,0
5750,Ostigard,GEN,2025-26,30,6.13,6.52,5,0,0,0,0,0,7,0
6572,Castro S.,BOL,2025-26,35,5.93,6.51,7,0,0,0,0,1,3,0
2296,Mancini,ROM,2025-26,36,6.25,6.51,4,0,0,0,0,2,9,0
5515,Okereke,CRE,2025-26,10,5.9,6.5,2,0,0,0,0,0,0,0
6403,Christensen O.,FIO,2025-26,1,7.5,6.5,0,1,0,0,0,0,0,0
4177,Pavard,INT,2025-26,1,6.5,6.5,0,0,0,0,0,0,0,0
6556,Noslin,LAZ,2025-26,23,6.02,6.5,4,0,0,0,0,2,4,1
5338,Rinaldi,PAR,2025-26,1,7.0,6.5,0,0,0,0,0,0,1,0
6986,Rensch,ROM,2025-26,19,6.16,6.5,1,0,0,0,0,4,1,0
7157,Iannoni,SAS,2025-26,5,6.0,6.5,1,0,0,0,0,0,3,0
7223,Vergara,NAP,2025-26,8,6.25,6.5,1,0,0,0,0,0,2,0
7368,Vermesan,VER,2025-26,1,6.5,6.5,0,0,0,0,0,0,0,0
4404,Thorsby,CRE,2025-26,21,6.10,6.48,3,0,0,0,0,1,4,0
6666,Bernabè,PAR,2025-26,32,6.17,6.48,3,0,0,0,0,1,0,0
6190,Pisilli,ROM,2025-26,22,6.09,6.48,2,0,0,0,0,4,3,0
5844,Thorstvedt,SAS,2025-26,31,6.15,6.48,4,0,0,0,0,3,9,0
6151,Perrone,COM,2025-26,36,6.22,6.47,3,0,0,0,0,4,8,0
7181,Wesley,ROM,2025-26,30,6.12,6.47,5,0,0,0,0,0,5,2
6243,Borrelli,CAG,2025-26,26,5.92,6.46,5,0,0,0,0,1,4,0
6380,Solomon,FIO,2025-26,13,5.96,6.46,2,0,0,0,0,1,1,0
6550,Garcia U.,SAS,2025-26,12,6.17,6.46,1,0,0,0,0,2,3,0
4409,Rrahmani,NAP,2025-26,21,6.24,6.45,2,0,0,0,0,0,3,0
5888,Casadei,TOR,2025-26,32,5.97,6.45,6,0,0,0,0,0,5,0
