player_id,nome,squadra,ruolo_classic,ruolo_mantra,classic_qi,classic_qa,classic_fvm,mantra_qi,mantra_qa,mantra_fvm
6646,Adams C.,TOR,a,a,9,11,25,10,12,25
7551,Schmid,FRO,c,w/t,8,11,38,8,11,38
1850,Kessiè,ATA,c,c,12,11,33,12,11,33
7625,Goncalves P.,FIO,c,w/t,12,11,37,12,11,37
5526,Scalvini,ATA,d,dc,10,10,23,10,10,23
4734,Miranda J.,BOL,d,ds/e,8,10,22,8,10,22
7311,Romano,CAG,c,m/c,5,10,21,6,10,26
2521,De Gea,FIO,p,por,13,10,25,13,10,25
6531,Jimenez A.,FIO,d,dd/ds/e,8,10,30,9,11,32
5750,Ostigard,GEN,d,dc,11,10,26,11,10,26
5823,Baldanzi,GEN,c,t,11,10,21,10,9,21
4923,Colombo,GEN,a,pc,11,10,53,10,10,50
5877,Carlos Augusto,INT,d,b/ds/e,7,10,27,8,11,27
5761,Zhegrova,JUV,c,w,6,10,22,5,9,22
6556,Noslin,LAZ,a,a,6,10,35,6,10,35
5504,Coulibaly L.,LEC,c,m/c,6,10,17,7,11,22
4856,Chukwueze,MIL,c,e/w,6,10,23,5,9,25
7485,Mangas,MON,d,ds/e,6,10,25,6,10,25
7523,Varela G.,MON,a,pc,3,10,69,3,10,66
2038,Pinamonti,LAZ,a,pc,13,10,40,12,10,37
5555,Kamara H.,UDI,d,ds/e,6,10,15,6,10,15
6229,Tourè E.,PAR,a,pc,11,10,31,11,10,31
7547,Kevin Carlos,CAG,a,pc,13,10,20,12,10,17
5982,Spence,INT,d,e,12,10,17,11,9,17
7600,Osmajic,GEN,a,pc,8,10,36,7,9,33
133,Skorupski,BOL,p,por,10,9,23,10,9,23
6844,Rowe,ATA,c,w/t,11,9,35,11,9,35
4210,Mina,CAG,d,dc,8,9,17,8,9,17
4870,Adopo,CAG,c,m/c,6,9,12,7,10,15
7414,Kaiki,COM,d,ds/e,7,9,17,7,9,17
4359,Piccoli,BOL,a,pc,8,9,41,7,9,38
6415,Palmisani,FRO,p,por,4,9,21,4,9,21
7469,Bracaglia,FRO,d,ds/dc,5,9,17,5,9,19
6238,Oyono A.,FRO,d,dd/e,5,9,10,5,9,10
5514,Vasquez,GEN,d,ds/dc,9,9,28,10,10,28
7070,Sucic P.,INT,c,c,8,9,19,8,9,19
5620,Tavares N.,LAZ,d,ds/e,6,9,45,6,9,45
6989,Tiago Gabriel,LEC,d,dc,7,9,22,7,9,22
572,Meret,NAP,p,por,11,9,40,11,9,40
4220,Zambo Anguissa,NAP,c,c,11,9,27,11,9,27
7223,Vergara,NAP,c,w/t,8,9,25,8,9,25
5862,Valeri,PAR,d,ds/e,8,9,22,8,9,22
6190,Pisilli,ROM,c,c,5,9,30,5,9,30
2528,Matic,SAS,c,m/c,5,9,15,6,10,20
5844,Thorstvedt,SAS,c,c/t,10,9,31,10,9,31
5735,Volpato,SAS,c,w/t,7,9,20,7,9,20
6680,Karlstrom,UDI,c,m/c,6,9,20,7,10,23
5641,Chalobah T.,COM,d,dd/dc,9,9,25,10,10,27
6534,Perri,TOR,p,por,9,9,16,9,9,15
6042,Lucumì,JUV,d,dc,8,8,18,8,8,18
5858,Ferguson,BOL,c,m/c,7,8,22,8,9,27
5298,Pobega,BOL,c,m/c,6,8,12,7,8,15
4436,Cambiaghi,BOL,c,w/a,8,8,22,7,7,22
7274,Zè Pedro,CAG,d,dd/dc,5,8,15,6,9,17
5701,Obert,CAG,d,b/ds/e,7,8,15,7,8,17
4260,Winks,CAG,c,m/c,6,8,15,7,8,20
7374,Mendy P.,CAG,a,pc,4,8,20,3,8,17
6867,Valle,COM,d,ds/e,6,8,20,6,8,20
5365,Dragusin,FIO,d,dc,8,8,19,8,8,19
5885,Dodò,FIO,d,dd/e,10,8,8,10,8,8
4465,Fagioli,FIO,c,m/c,8,8,22,9,9,27
6294,Ndour,FIO,c,c,8,8,20,8,8,20
7467,Calvani,FRO,d,dc,4,8,13,4,8,13
6669,Bonny,INT,a,pc,7,8,16,6,7,13
4657,Celik,JUV,d,b/dd/e,8,8,18,9,9,20
827,Locatelli,JUV,c,m/c,8,8,15,9,9,20
5562,Thuram K.,JUV,c,c,10,8,15,10,8,15
5685,Koopmeiners,JUV,c,c/t,5,8,18,5,8,18
6320,Doekhi,LAZ,d,dc,7,8,13,7,8,13
6398,Isaksen,LAZ,c,w/a,9,8,21,8,7,21
6593,Akinsanmiro,MON,c,c,6,8,13,6,8,13
5878,Colpani,MON,c,t,8,8,15,7,8,13
2155,Cutrone,MON,a,pc,9,8,16,8,8,13
1852,Spinazzola,NAP,d,ds/e,8,8,21,8,8,21
6664,Delprato,PAR,d,b/dd/e,8,8,21,8,8,24
6207,Almqvist,PAR,c,w/a,4,8,12,3,7,12
5851,Doig,SAS,d,ds/e,4,8,12,4,8,12
